asset,name,kind,family,s57_object_class,s57_conditions,s52_instruction,s101_symbol_id,has_s101,has_aquamap,has_opencpn,canonical_svg,day_render,visual_parity
BCNGEN71,"beacon in general, yellow/back/yellow, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR6,2,6","SY(BCNGEN71);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN71.svg,,repaired_pending_judge_rerun
BCNGEN76,"beacon in general, black/red/back, full-chart",symbol,buoy_beacon_marks,BCNISD,"COLOUR2,3,2","SY(BCNGEN76);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN76.svg,,repaired_pending_judge_rerun
BCNGEN79,"beacon in general, orange, full-chart",symbol,buoy_beacon_marks,BCNSPP,COLOUR11,"SY(BCNGEN79);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN79.svg,,repaired_pending_judge_rerun
BCNGEN80,"beacon in general, orange, full-chart",symbol,buoy_beacon_marks,BCNSPP,COLOUR2,"SY(BCNGEN80);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN80.svg,,repaired_pending_judge_rerun
BCNISD21,"isolated danger beacon, simplified",symbol,buoy_beacon_marks,BCNISD,,"SY(BCNISD21);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNISD21,True,True,True,assets/svg/triad_generated/BCNISD21.svg,,repaired_pending_judge_rerun
BCNLAT15,"major lateral beacon, red, simplified",symbol,buoy_beacon_marks,BCNLAT,"COLOUR3,4,3;BCNSHP3","SY(BCNLAT15);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNLAT15,True,False,True,assets/svg/triad_generated/BCNLAT15.svg,,repaired_pending_judge_rerun
BCNLAT16,"major lateral beacon, green, simplified",symbol,buoy_beacon_marks,BCNLAT,"COLOUR4,3,4;BCNSHP3","SY(BCNLAT16);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNLAT16,True,False,True,assets/svg/triad_generated/BCNLAT16.svg,,repaired_pending_judge_rerun
BCNLAT21,"minor lateral beacon, red, simplified",symbol,buoy_beacon_marks,BCNLAT,"COLOUR3,4,3;BCNSHP1","SY(BCNLAT21);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNLAT21,True,False,True,assets/svg/triad_generated/BCNLAT21.svg,,repaired_pending_judge_rerun
BCNLAT22,"minor lateral beacon, green, simplified",symbol,buoy_beacon_marks,BCNLAT,"COLOUR4,3,4;BCNSHP1","SY(BCNLAT22);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNLAT22,True,False,True,assets/svg/triad_generated/BCNLAT22.svg,,repaired_pending_judge_rerun
BCNLAT23,"minor lateral beacon, red-green, simplified",symbol,ugly_attribute_edges,bcnlat,catlam9,"SY(BCNLAT23);TE('bn %s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNLAT23.svg,,repaired_pending_judge_rerun
BCNLAT50,river beacon stake - pole,symbol,ugly_attribute_edges,bcnwtw,,"SY(BCNLAT50);TX(OBJNAM,2,1,2,'14106',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNLAT50.svg,,repaired_pending_judge_rerun
