symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(CTNARE51),CTNARE51,SY,96,91,1,matched_standard_source_table_asset,CTNARE51
SY(CTYARE51),CTYARE51,SY,97,92,1,matched_standard_source_table_asset,CTYARE51
SY(CTYARE71),CTYARE71,SY,98,93,0,not_in_standard_source_table,
SY(CURDEF01),CURDEF01,SY,99,94,1,matched_standard_source_table_asset,CURDEF01
SY(CURENT01),CURENT01,SY,100,95,1,matched_standard_source_table_asset,CURENT01
SY(DANGER01),DANGER01,SY,101,98,0,not_in_standard_source_table,
SY(DANGER02),DANGER02,SY,102,99,0,not_in_standard_source_table,
SY(DANGER03),DANGER03,SY,103,525,0,not_in_standard_source_table,
SY(DAYSQR01),DAYSQR01,SY,104,100,1,matched_standard_source_table_asset,DAYSQR01
SY(DAYSQR21),DAYSQR21,SY,105,101,1,matched_standard_source_table_asset,DAYSQR21
SY(DAYTRI01),DAYTRI01,SY,106,102,1,matched_standard_source_table_asset,DAYTRI01
SY(DAYTRI05),DAYTRI05,SY,107,103,1,matched_standard_source_table_asset,DAYTRI05
SY(DAYTRI21),DAYTRI21,SY,108,104,0,not_in_standard_source_table,
SY(DAYTRI25),DAYTRI25,SY,109,105,0,not_in_standard_source_table,
SY(DIRBOY01),DIRBOY01,SY,110,521,1,matched_standard_source_table_asset,DIRBOY01
SY(DIRBOYA1),DIRBOYA1,SY,111,106,1,matched_standard_source_table_asset,DIRBOYA1
SY(DIRBOYB1),DIRBOYB1,SY,112,107,1,matched_standard_source_table_asset,DIRBOYB1
SY(DISMAR03),DISMAR03,SY,113,108,1,matched_standard_source_table_asset,DISMAR03
SY(DISMAR04),DISMAR04,SY,114,109,1,matched_standard_source_table_asset,DISMAR04
SY(DNGHILIT),DNGHILIT,SY,115,110,1,matched_standard_source_table_asset,DNGHILIT
SY(DOMES001),DOMES001,SY,116,111,1,matched_standard_source_table_asset,DOMES001
SY(DOMES011),DOMES011,SY,117,112,1,matched_standard_source_table_asset,DOMES011
SY(DRFSTA01),DRFSTA01,SY,118,587,0,not_in_standard_source_table,
SY(DSHAER01),DSHAER01,SY,119,113,1,matched_standard_source_table_asset,DSHAER01
SY(DSHAER11),DSHAER11,SY,120,114,1,matched_standard_source_table_asset,DSHAER11
SY(DWRTPT51),DWRTPT51,SY,121,115,1,matched_standard_source_table_asset,DWRTPT51
SY(DWRUTE51),DWRUTE51,SY,122,522,1,matched_standard_source_table_asset,DWRUTE51
SY(EBBSTR01),EBBSTR01,SY,123,116,1,matched_standard_source_table_asset,EBBSTR01
SY(EBLVRM11),EBLVRM11,SY,124,117,1,matched_standard_source_table_asset,EBLVRM11
SY(ENTRES51),ENTRES51,SY,125,118,0,not_in_standard_source_table,
SY(ENTRES61),ENTRES61,SY,126,119,0,not_in_standard_source_table,
SY(ENTRES71),ENTRES71,SY,127,120,0,not_in_standard_source_table,
SY(ESSARE01),ESSARE01,SY,128,,1,matched_standard_source_table_asset,ESSARE01
SY(FAIRWY51),FAIRWY51,SY,129,123,1,matched_standard_source_table_asset,FAIRWY51
SY(FAIRWY52),FAIRWY52,SY,130,124,1,matched_standard_source_table_asset,FAIRWY52
SY(FLASTK01),FLASTK01,SY,131,125,1,matched_standard_source_table_asset,FLASTK01
SY(FLASTK11),FLASTK11,SY,132,126,1,matched_standard_source_table_asset,FLASTK11
SY(FLDSTR01),FLDSTR01,SY,133,127,1,matched_standard_source_table_asset,FLDSTR01
SY(FLGSTF01),FLGSTF01,SY,134,128,1,matched_standard_source_table_asset,FLGSTF01
SY(FLTHAZ02),FLTHAZ02,SY,135,524,1,matched_standard_source_table_asset,FLTHAZ02
SY(FOGSIG01),FOGSIG01,SY,136,129,1,matched_standard_source_table_asset,FOGSIG01
SY(FORSTC01),FORSTC01,SY,137,130,1,matched_standard_source_table_asset,FORSTC01
SY(FORSTC11),FORSTC11,SY,138,131,1,matched_standard_source_table_asset,FORSTC11
SY(FOULGND1),FOULGND1,SY,139,132,1,matched_standard_source_table_asset,FOULGND1
SY(FRYARE51),FRYARE51,SY,140,133,1,matched_standard_source_table_asset,FRYARE51
SY(FRYARE52),FRYARE52,SY,141,134,1,matched_standard_source_table_asset,FRYARE52
SY(FSHFAC02),FSHFAC02,SY,142,135,1,matched_standard_source_table_asset,FSHFAC02
SY(FSHFAC03),FSHFAC03,SY,143,136,1,matched_standard_source_table_asset,FSHFAC03
SY(FSHGRD01),FSHGRD01,SY,144,137,1,matched_standard_source_table_asset,FSHGRD01
SY(FSHHAV01),FSHHAV01,SY,145,138,1,matched_standard_source_table_asset,FSHHAV01
SY(FSHRES51),FSHRES51,SY,146,139,0,not_in_standard_source_table,
SY(FSHRES61),FSHRES61,SY,147,140,0,not_in_standard_source_table,
